Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Mionoff, Mr. Stoytcho",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Boulos, Miss. Nourelain",1,1,0,1,1,0,0,0,0,0,1,0,0,0.5979529360542205
"Ford, Mr. William Neal",1,0,0,1,0,0,0,0,0,0,0,0,0,0.3429654211598768
"Najib, Miss. Adele Kiamie ""Jane""",0,1,0,1,1,0,0,0,0,0,1,0,1,0.5655756915810887
"Adahl, Mr. Mauritz Nils Martin",0,0,0,1,0,0,0,1,0,0,0,0,0,0.1684982567280713
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,0,0,0,1,0.35950125635107616
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8823256383292742
"Bourke, Mr. John",1,0,0,1,0,1,0,0,1,0,0,0,0,0.16805824458367713
"Vanden Steen, Mr. Leo Peter",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Pasic, Mr. Jakob",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Minahan, Dr. William Edward",2,0,0,0,0,1,0,0,1,0,0,1,0,0.3527844170308245
"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,1,0,0,0,0,1,0,0,0,0,0,0.15481270657615723
"Panula, Master. Eino Viljami",4,0,0,1,0,0,0,0,0,0,0,0,0,0.06222498904262189
"Allison, Miss. Helen Loraine",1,1,0,0,0,0,0,0,0,0,1,0,0,0.8462117847328439
"Lurette, Miss. Elise",0,1,0,0,1,0,0,0,1,0,1,0,1,0.7766440311596411
"Barah, Mr. Hanna Assi",0,0,0,1,1,0,0,0,0,0,0,0,1,0.28028714293197515
"Cardeza, Mr. Thomas Drake Martinez",0,0,0,0,1,0,0,1,0,0,0,0,1,0.32088173993669394
"Asplund, Master. Edvin Rojj Felix",4,0,0,1,0,0,0,0,0,0,0,0,1,0.06222498904262189
"Abbing, Mr. Anthony",0,0,0,1,0,0,0,0,1,0,0,0,0,0.09019497945566421
"Coxon, Mr. Daniel",0,0,0,1,0,0,0,0,1,0,0,0,0,0.09019497945566421
"Goldsmith, Mr. Frank John",1,0,0,1,0,0,0,1,0,0,0,0,0,0.1345288724792528
"Sundman, Mr. Johan Julian",0,0,0,1,0,0,0,0,1,0,0,0,1,0.09019497945566421
"Oreskovic, Mr. Luka",0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980729646936086
"Ford, Mrs. Edward (Margaret Ann Watson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4544178579522141
"Hood, Mr. Ambrose Jr",0,0,1,0,0,0,1,0,0,0,0,0,0,0.11955470381575671
"Hassan, Mr. Houssein G N",0,0,0,1,1,0,0,0,0,0,0,0,0,0.28028714293197515
"Gale, Mr. Shadrach",1,0,1,0,0,0,0,1,0,0,0,0,0,0.2814637996702319
"Stranden, Mr. Juho",0,0,0,1,0,0,0,1,0,0,0,0,1,0.1684982567280713
"Petranec, Miss. Matilda",0,1,0,1,0,0,1,0,0,0,1,0,0,0.5506627456456816
"Danoff, Mr. Yoto",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Cook, Mr. Jacob",0,0,0,1,0,0,0,0,1,0,0,0,0,0.09019497945566421
"Bonnell, Miss. Elizabeth",0,1,0,0,0,0,0,0,1,0,1,0,1,0.7950079151548833
"Goldenberg, Mr. Samuel L",1,0,0,0,1,0,0,0,1,0,0,0,1,0.4222615012173396
"Mallet, Master. Andre",0,0,1,0,1,0,0,0,0,0,0,0,1,0.26651115842013917
"Petterson, Mr. Johan Emil",1,0,0,1,0,0,1,0,0,0,0,0,0,0.2246348154071375
"Van der hoef, Mr. Wyckoff",0,0,0,0,0,0,0,0,1,0,0,0,0,0.26411548935982754
"Becker, Master. Richard F",2,0,1,0,0,0,0,0,0,0,0,0,1,0.36420516973102324
"Widener, Mr. Harry Elkins",0,0,0,0,1,0,1,0,0,0,0,0,0,0.4445571571422815
"Sivic, Mr. Husein",0,0,0,1,0,0,0,0,1,0,0,0,0,0.09019497945566421
"Leader, Dr. Alice (Farnham)",0,1,0,0,0,0,0,0,1,0,0,1,1,0.6567640964214128
"McNamee, Mr. Neal",1,0,0,1,0,0,1,0,0,0,0,0,0,0.2246348154071375
"Balkic, Mr. Cerin",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Svensson, Mr. Olof",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Rice, Master. Arthur",4,0,0,1,0,1,0,0,0,0,0,0,0,0.06821083374916032
"Quick, Miss. Phyllis May",1,1,1,0,0,0,0,0,0,0,1,0,1,0.8969888059357046
"Charters, Mr. David",0,0,0,1,0,1,1,0,0,0,0,0,0,0.12167671417647197
"Hirvonen, Miss. Hildur E",0,1,0,1,0,0,0,0,0,0,1,0,1,0.48213813211599316
"Carter, Mr. William Ernest",1,0,0,0,0,0,0,1,0,0,0,0,1,0.3551403121377408
"Kirkland, Rev. Charles Leonard",0,0,1,0,0,1,0,0,1,0,0,1,0,0.18679153660407535
"Coleff, Mr. Satio",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Silvey, Mr. William Baird",1,0,0,0,0,0,0,0,1,0,0,0,0,0.38483193144435945
"Partner, Mr. Austen",0,0,0,0,0,0,0,0,1,0,0,0,0,0.26411548935982754
"White, Mr. Richard Frasar",0,0,0,0,0,0,1,0,0,0,0,0,0,0.44256019470782526
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4544178579522141
"Beckwith, Mr. Richard Leonard",1,0,0,0,0,0,0,1,0,0,0,0,1,0.3551403121377408
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8823256383292742
"Daly, Mr. Eugene Patrick",0,0,0,1,0,1,0,1,0,0,0,0,1,0.12796196152836456
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,0,0,0,0,0,1,0,1,0,0,1,0.8669891341689262
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,0,0,1,0,0,0,1,1,0,0,1,0.9421634829653095
"Dorking, Mr. Edward Arthur",0,0,0,1,0,0,0,0,0,0,0,0,1,0.0980729646936086
"Chronopoulos, Mr. Apostolos",1,0,0,1,1,0,1,0,0,0,0,0,0,0.3206416882758388
"Levy, Mr. Rene Jacques",0,0,1,0,1,0,0,1,0,0,0,0,0,0.2270595069837098
"Richards, Master. William Rowe",1,0,1,0,0,0,0,0,0,0,0,0,1,0.4394220402405837
"Hippach, Miss. Jean Gertrude",0,1,0,0,1,0,0,0,0,0,1,0,1,0.8472514767489412
"Kantor, Mr. Sinai",1,0,1,0,0,0,0,1,0,0,0,0,0,0.2814637996702319
"Heikkinen, Miss. Laina",0,1,0,1,0,0,1,0,0,0,1,0,1,0.5506627456456816
"Dennis, Mr. Samuel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Drazenoic, Mr. Jozef",0,0,0,1,1,0,0,1,0,0,0,0,0,0.23530819095936475
"Osen, Mr. Olaf Elon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980729646936086
"Rice, Mrs. William (Margaret Norton)",0,1,0,1,0,1,0,0,1,1,0,0,0,0.5221133927237601
"White, Mr. Percival Wayland",0,0,0,0,0,0,0,0,1,0,0,0,0,0.26411548935982754
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,1,1,0,0,0,1,0,0,1,0,0,1,0.7551056251273184
"LeRoy, Miss. Bertha",0,1,0,0,1,0,0,1,0,0,1,0,1,0.8626125284463282
"Lemberopolous, Mr. Peter L",0,0,0,1,1,0,0,1,0,0,0,0,0,0.23530819095936475
"Bazzani, Miss. Albina",0,1,0,0,1,0,0,1,0,0,1,0,1,0.8626125284463282
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,1,1,0,0,0,0,0,1,1,0,0,0,0.849300869535781
"Andrews, Miss. Kornelia Theodosia",1,1,0,0,0,0,0,0,1,0,1,0,1,0.801501133853558
"Montvila, Rev. Juozas",0,0,1,0,0,0,1,0,0,0,0,1,0,0.15109043946908196
"Endres, Miss. Caroline Louise",0,1,0,0,1,0,0,1,0,0,1,0,1,0.8626125284463282
"Newell, Mr. Arthur Webster",0,0,0,0,1,0,0,0,1,0,0,0,0,0.24243051169438282
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4544178579522141
"Connors, Mr. Patrick",0,0,0,1,0,1,0,0,1,0,0,0,0,0.08306633533171118
"Moor, Master. Meier",0,0,0,1,0,0,0,0,0,0,0,0,1,0.0980729646936086
"McKane, Mr. Peter David",0,0,1,0,0,0,0,0,1,0,0,0,0,0.1554431762386769
"Hakkarainen, Mr. Pekka Pietari",1,0,0,1,0,0,1,0,0,0,0,0,0,0.2246348154071375
"Waelens, Mr. Achille",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Nakid, Mr. Sahid",1,0,0,1,1,0,0,0,0,0,0,0,1,0.3618533395256196
"Nicola-Yarred, Miss. Jamila",1,1,0,1,1,0,0,0,0,0,1,0,1,0.5979529360542205
"Andreasson, Mr. Paul Edvin",0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980729646936086
"Mellors, Mr. William John",0,0,1,0,0,0,0,0,0,0,0,0,1,0.19306207522358662
"Lesurer, Mr. Gustave J",0,0,0,0,1,0,0,1,0,0,0,0,1,0.32088173993669394
"Goodwin, Master. William Frederick",5,0,0,1,0,0,0,0,0,0,0,0,0,0.060263266554583604
"Johnson, Mr. Malkolm Joackim",0,0,0,1,0,0,0,1,0,0,0,0,0,0.1684982567280713
"Chaffee, Mr. Herbert Fuller",1,0,0,0,0,0,0,0,1,0,0,0,0,0.38483193144435945
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,0,0,0,0,0,0,1,1,0,0,1,0.8358794331739569
"Strandberg, Miss. Ida Sofia",0,1,0,1,0,0,1,0,0,0,1,0,0,0.5506627456456816
"Albimona, Mr. Nassef Cassem",0,0,0,1,1,0,1,0,0,0,0,0,1,0.28336728087494156
"Karun, Miss. Manca",0,1,0,1,1,0,0,0,0,0,1,0,1,0.5655756915810887
"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,0,0,0,0,0,1,1,0,0,1,0.8609953427312529
"Carr, Miss. Helen ""Ellen""",0,1,0,1,0,1,0,0,0,0,1,0,1,0.5480321868657183
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,1,0,1,0,0,0,0,1,1,0,0,0,0.5463745407931944
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.849300869535781
"Wilhelms, Mr. Charles",0,0,1,0,0,0,0,1,0,0,0,0,1,0.15481270657615723
"Moor, Mrs. (Beila)",0,1,0,1,0,0,1,0,0,1,0,0,1,0.6482246792065756
"Panula, Mr. Ernesti Arvid",4,0,0,1,0,0,0,0,0,0,0,0,0,0.06222498904262189
"Ayoub, Miss. Banoura",0,1,0,1,1,0,0,0,0,0,1,0,1,0.5655756915810887
"Hocking, Mrs. Elizabeth (Eliza Needs)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.849300869535781
"Walker, Mr. William Anderson",0,0,0,0,0,0,0,0,1,0,0,0,0,0.26411548935982754
"Palsson, Master. Gosta Leonard",3,0,0,1,0,0,0,0,0,0,0,0,0,0.07520978051905035
"Gaskell, Mr. Alfred",0,0,1,0,0,0,0,0,0,0,0,0,0,0.19306207522358662
"Gustafsson, Mr. Karl Gideon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980729646936086
"Vande Walle, Mr. Nestor Cyriel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Hunt, Mr. George Henry",0,0,1,0,0,0,0,1,0,0,0,0,0,0.15481270657615723
"Goldsmith, Master. Frank John William ""Frankie""",0,0,0,1,0,0,0,0,0,0,0,0,1,0.0980729646936086
"Barbara, Mrs. (Catherine David)",0,1,0,1,1,0,0,0,1,1,0,0,0,0.6618512920633752
"Rugg, Miss. Emily",0,1,1,0,0,0,1,0,0,0,1,0,1,0.8326395856933871
"Futrelle, Mr. Jacques Heath",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3551403121377408
"Doling, Miss. Elsie",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8963551515502126
"Bing, Mr. Lee",0,0,0,1,0,0,0,1,0,0,0,0,1,0.1684982567280713
